"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2014-07-06 00:00:00",0,13.75,12.55,"2014-07-05 10:18:00",13.29,14.66,"2014-07-05 19:49:00",8.55,11.53
"2014-07-07 00:00:00",1,13.66,12.47,"2014-07-06 05:00:00",13.18,20.8,"2014-07-06 17:41:00",10.74,15.49
"2014-07-08 00:00:00",2,13.79,12.43,"2014-07-07 05:30:00",13.21,20.96,"2014-07-07 16:59:00",6.199,13.77
"2014-07-09 00:00:00",3,13.72,12.45,"2014-07-08 05:30:00",13.14,19.36,"2014-07-08 16:39:30",8.68,12.86
"2014-07-10 00:00:00",4,13.74,12.43,"2014-07-09 04:30:00",13.17,20.24,"2014-07-09 18:15:00",8.02,13.42
"2014-07-11 00:00:00",5,13.78,12.42,"2014-07-10 05:30:00",13.19,19.94,"2014-07-10 17:34:30",3.612,13.42
"2014-07-12 00:00:00",6,13.71,12.45,"2014-07-11 05:30:00",13.14,21.86,"2014-07-11 17:48:30",9.86,15.16
"2014-07-13 00:00:00",7,13.73,12.43,"2014-07-12 06:00:00",13.2,19.31,"2014-07-12 20:41:00",5.614,13.6
"2014-07-14 00:00:00",8,13.67,12.43,"2014-07-13 06:00:00",13.12,23.7,"2014-07-13 18:03:00",8.23,16.01
"2014-07-15 00:00:00",9,13.76,12.43,"2014-07-14 06:00:00",13.16,22.92,"2014-07-14 18:31:00",5.614,15.09
"2014-07-16 00:00:00",10,13.76,12.42,"2014-07-15 05:30:00",13.14,20.45,"2014-07-15 15:21:00",4.279,13.53
"2014-07-17 00:00:00",11,13.73,12.44,"2014-07-16 05:30:00",13.15,20.96,"2014-07-16 19:30:00",6.373,14.84
"2014-07-18 00:00:00",12,13.76,12.43,"2014-07-17 05:30:00",13.12,23.24,"2014-07-17 19:40:00",5.097,14.76
"2014-07-19 00:00:00",13,13.75,12.44,"2014-07-18 06:00:00",13.13,22.08,"2014-07-18 19:21:30",8.77,14.38
"2014-07-20 00:00:00",14,13.7,12.41,"2014-07-19 06:00:00",13.1,24.81,"2014-07-19 16:20:00",4.213,15.07
"2014-07-21 00:00:00",15,13.72,12.44,"2014-07-20 05:30:00",13.15,18.46,"2014-07-20 15:11:30",7.356,12.42
"2014-07-22 00:00:00",16,13.8,12.42,"2014-07-21 07:30:00",13.11,19.08,"2014-07-21 20:10:30",7.114,11.5
"2014-07-23 00:00:00",17,13.74,12.4,"2014-07-22 06:00:00",13.11,24.39,"2014-07-22 18:22:00",4.107,14.75
"2014-07-24 00:00:00",18,13.82,12.41,"2014-07-23 05:30:00",13.17,18.58,"2014-07-23 18:05:00",3.935,12.93
"2014-07-25 00:00:00",19,13.81,12.4,"2014-07-24 06:30:00",13.18,15.97,"2014-07-24 19:52:30",4.213,10.11
"2014-07-26 00:00:00",20,13.85,12.4,"2014-07-25 06:30:00",13.17,19.6,"2014-07-25 18:01:30",3.592,11.31
"2014-07-27 00:00:00",21,13.81,12.39,"2014-07-26 06:30:00",13.16,15.63,"2014-07-26 17:46:30",3.827,10.47
"2014-07-28 00:00:00",22,13.75,12.42,"2014-07-27 06:00:00",13.16,17.99,"2014-07-27 15:35:00",6.373,12.34
"2014-07-29 00:00:00",23,13.84,12.39,"2014-07-28 06:00:00",13.14,18.3,"2014-07-28 17:43:00",3.486,12.23
"2014-07-30 00:00:00",24,13.71,12.44,"2014-07-29 06:30:00",13.17,14.97,"2014-07-29 18:14:30",9.26,12.25
"2014-07-31 00:00:00",25,13.8,12.42,"2014-07-30 07:30:00",13.09,12.65,"2014-07-30 17:51:30",6.918,9.19
"2014-08-01 00:00:00",26,13.82,12.4,"2014-07-31 06:00:00",13.11,21.29,"2014-07-31 19:04:00",3.506,12.5
"2014-08-02 00:00:00",27,13.73,12.41,"2014-08-01 06:00:00",13.1,22.81,"2014-08-01 17:18:30",5.354,14.67
"2014-08-03 00:00:00",28,13.75,12.41,"2014-08-02 06:00:00",13.1,22.78,"2014-08-02 18:26:00",3.592,14.29
"2014-08-04 00:00:00",29,13.72,12.43,"2014-08-03 05:30:00",13.1,21.48,"2014-08-03 17:48:30",7.245,15.03
"2014-08-05 00:00:00",30,13.67,12.45,"2014-08-04 06:00:00",13.1,22.64,"2014-08-04 16:51:00",10.22,16.12
"2014-08-06 00:00:00",31,13.83,12.41,"2014-08-05 06:30:00",13.13,19.6,"2014-08-05 16:38:00",3.698,12.24
"2014-08-07 00:00:00",32,13.83,12.4,"2014-08-06 06:30:00",13.11,20,"2014-08-06 17:54:00",4.042,11.66
"2014-08-08 00:00:00",33,13.82,12.39,"2014-08-07 06:30:00",13.14,19.86,"2014-08-07 17:19:00",2.076,12.34
"2014-08-09 00:00:00",34,13.88,12.38,"2014-08-08 06:30:00",13.13,20.26,"2014-08-08 18:10:30",1.861,11.32
"2014-08-10 00:00:00",35,13.74,12.43,"2014-08-09 06:30:00",13.12,16.59,"2014-08-09 17:26:30",7.575,12.01
"2014-08-11 00:00:00",36,13.73,12.41,"2014-08-10 06:00:00",13.1,18.28,"2014-08-10 17:30:00",5.485,12.27
"2014-08-12 00:00:00",37,13.72,12.43,"2014-08-11 07:00:00",13.05,19.68,"2014-08-11 16:03:30",7.378,13.62
"2014-08-13 00:00:00",38,13.7,12.43,"2014-08-12 06:30:00",13.09,21.42,"2014-08-12 16:36:30",7.268,13.7
"2014-08-14 00:00:00",39,13.79,12.4,"2014-08-13 07:00:00",13.11,18.92,"2014-08-13 18:13:30",4.579,11.53
"2014-08-15 00:00:00",40,13.69,12.43,"2014-08-14 06:00:00",13.09,18.3,"2014-08-14 18:31:30",7.794,13.18
"2014-08-16 00:00:00",41,13.67,12.45,"2014-08-15 06:00:00",13.09,19.76,"2014-08-15 18:15:30",9.44,14.11
"2014-08-17 00:00:00",42,13.85,12.38,"2014-08-16 06:30:00",13.17,15.43,"2014-08-16 17:20:00",1.138,9.57
"2014-08-18 00:00:00",43,13.76,12.42,"2014-08-17 06:30:00",13.03,18.4,"2014-08-17 19:40:00",6.897,11.53
"2014-08-19 00:00:00",44,13.8,12.41,"2014-08-18 06:30:00",13.08,17.34,"2014-08-18 15:25:00",3.956,10.19
"2014-08-20 00:00:00",45,13.72,12.42,"2014-08-19 07:00:00",13.07,15.87,"2014-08-19 19:14:00",7.202,11.27
"2014-08-21 00:00:00",46,13.8,12.39,"2014-08-20 07:00:00",13.08,19.28,"2014-08-20 18:59:00",3.271,10.87
"2014-08-22 00:00:00",47,13.86,12.38,"2014-08-21 06:30:00",13.07,21.34,"2014-08-21 18:38:30",1.606,11.72
"2014-08-23 00:00:00",48,13.78,12.41,"2014-08-22 06:30:00",13.08,19.55,"2014-08-22 17:36:30",6.177,11.9
"2014-08-24 00:00:00",49,13.71,12.44,"2014-08-23 07:30:00",13.03,20.13,"2014-08-23 19:16:30",9.32,13.98
"2014-08-25 00:00:00",50,13.78,12.41,"2014-08-24 07:00:00",13.12,12.33,"2014-08-24 19:50:30",4.837,8.81
"2014-08-26 00:00:00",51,13.82,12.38,"2014-08-25 07:00:00",13.03,21.31,"2014-08-25 16:37:30",2.225,11.03
"2014-08-27 00:00:00",52,13.79,12.41,"2014-08-26 07:30:00",13.05,15.29,"2014-08-26 16:26:30",6.57,10.34
"2014-08-28 00:00:00",53,13.87,12.38,"2014-08-27 07:00:00",13.1,17.09,"2014-08-27 18:38:00",1.053,9.7
"2014-08-29 00:00:00",54,13.96,12.35,"2014-08-28 07:00:00",13.11,13.66,"2014-08-28 17:12:30",-0.5,7.167
"2014-08-30 00:00:00",55,13.88,12.38,"2014-08-29 07:30:00",13.09,14.61,"2014-08-29 17:23:30",2.695,9.1
"2014-08-31 00:00:00",56,13.84,12.4,"2014-08-30 07:30:00",13.06,11.98,"2014-08-30 18:37:00",5.074,7.965
"2014-09-01 00:00:00",57,13.81,12.4,"2014-08-31 07:30:00",13.08,10.06,"2014-08-31 14:58:00",4.084,7.314
"2014-09-02 00:00:00",58,13.83,12.4,"2014-09-01 07:00:00",13.04,11.96,"2014-09-01 17:54:30",1.565,6.931
"2014-09-03 00:00:00",59,13.98,12.35,"2014-09-02 06:30:00",13.1,16.54,"2014-09-02 18:29:00",-1.609,7.01
"2014-09-04 00:00:00",60,13.85,12.38,"2014-09-03 04:30:00",13.04,11.18,"2014-09-03 15:41:00",0.608,6.678
"2014-09-05 00:00:00",61,13.81,12.41,"2014-09-04 06:30:00",13.07,12.72,"2014-09-04 15:41:30",5.485,8.63
"2014-09-06 00:00:00",62,13.78,12.41,"2014-09-05 07:00:00",13,9.84,"2014-09-05 19:25:00",6.005,7.725
"2014-09-07 00:00:00",63,13.79,12.42,"2014-09-06 07:30:00",13,11.29,"2014-09-06 15:23:00",4.17,7.659
