"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_May2013.CR1","36023","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-05-27 00:00:00",0,13.51,12.57,"2013-05-27 00:00:00",13.32,21.95,"2013-05-26 18:43:00",11.61,19.32
"2013-05-28 00:00:00",1,13.89,12.49,"2013-05-27 05:30:00",13.22,21.07,"2013-05-27 16:21:30",3.099,12.67
"2013-05-29 00:00:00",2,13.73,12.51,"2013-05-28 05:30:00",13.23,16.69,"2013-05-28 11:34:30",8.21,11.87
"2013-05-30 00:00:00",3,13.94,12.48,"2013-05-29 05:30:00",13.23,20.74,"2013-05-29 17:57:00",1.373,10.02
"2013-05-31 00:00:00",4,13.91,12.48,"2013-05-30 05:00:00",13.24,25.46,"2013-05-30 17:31:00",1.181,12.34
"2013-06-01 00:00:00",5,13.91,12.47,"2013-05-31 05:30:00",13.23,20.8,"2013-05-31 17:53:30",0.797,11
"2013-06-02 00:00:00",6,13.9,12.48,"2013-06-01 10:00:00",13.1,9.77,"2013-06-01 00:22:00",3.549,5.359
"2013-06-03 00:00:00",7,13.93,12.48,"2013-06-02 06:00:00",13.28,16.66,"2013-06-02 18:29:30",2.907,8.26
"2013-06-04 00:00:00",8,13.85,12.49,"2013-06-03 05:30:00",13.21,15.31,"2013-06-03 16:17:00",3.999,9.25
"2013-06-05 00:00:00",9,13.85,12.44,"2013-06-04 05:30:00",13.25,16.69,"2013-06-04 16:57:30",2.95,9.65
"2013-06-06 00:00:00",10,13.94,12.44,"2013-06-05 05:00:00",13.26,16.22,"2013-06-05 16:38:00",1.373,8.42
"2013-06-07 00:00:00",11,13.96,12.41,"2013-06-06 05:30:00",13.26,13.8,"2013-06-06 18:07:00",-1.97,6.571
"2013-06-08 00:00:00",12,13.89,12.43,"2013-06-07 05:30:00",13.25,15.43,"2013-06-07 18:01:00",1.33,9.07
"2013-06-09 00:00:00",13,13.8,12.46,"2013-06-08 05:30:00",13.24,12.44,"2013-06-08 15:09:00",5.831,8.96
"2013-06-10 00:00:00",14,13.79,12.45,"2013-06-09 06:30:00",13.19,18.97,"2013-06-09 19:56:00",5.377,12.56
"2013-06-11 00:00:00",15,13.82,12.45,"2013-06-10 05:00:00",13.2,18.82,"2013-06-10 14:28:00",4.236,12.04
"2013-06-12 00:00:00",16,13.81,12.46,"2013-06-11 05:30:00",13.14,13.99,"2013-06-11 17:58:00",6.547,9.47
"2013-06-13 00:00:00",17,13.8,12.45,"2013-06-12 05:30:00",13.3,11.22,"2013-06-12 18:19:30",5.614,8.81
"2013-06-14 00:00:00",18,13.86,12.45,"2013-06-13 05:30:00",13.19,12.91,"2013-06-13 18:21:00",4.88,8.64
"2013-06-15 00:00:00",19,13.91,12.43,"2013-06-14 05:30:00",13.22,18.33,"2013-06-14 18:38:30",1.181,10.4
"2013-06-16 00:00:00",20,13.88,12.45,"2013-06-15 05:00:00",13.18,23.55,"2013-06-15 20:09:30",2.225,13.99
"2013-06-17 00:00:00",21,13.76,12.46,"2013-06-16 05:00:00",13.15,22.92,"2013-06-16 17:54:30",6.613,16.18
"2013-06-18 00:00:00",22,13.61,12.5,"2013-06-17 04:30:00",13.11,19.02,"2013-06-17 15:48:30",11.49,15.71
"2013-06-19 00:00:00",23,13.77,12.46,"2013-06-18 05:00:00",13.29,12.44,"2013-06-18 17:14:30",7.794,10.45
"2013-06-20 00:00:00",24,13.78,12.44,"2013-06-19 05:00:00",13.17,22.7,"2013-06-19 20:06:00",3.506,14.61
"2013-06-21 00:00:00",25,13.71,12.47,"2013-06-20 05:00:00",13.21,19.05,"2013-06-20 15:21:00",7.882,14.32
"2013-06-22 00:00:00",26,13.65,12.47,"2013-06-21 06:00:00",13.15,24.48,"2013-06-21 17:38:30",10.29,17.35
"2013-06-23 00:00:00",27,13.78,12.46,"2013-06-22 05:30:00",13.19,25.16,"2013-06-22 17:11:00",6.351,16.1
"2013-06-24 00:00:00",28,13.76,12.46,"2013-06-23 05:30:00",13.18,22.53,"2013-06-23 17:10:30",7.532,15.14
"2013-06-25 00:00:00",29,13.73,12.45,"2013-06-24 05:30:00",13.13,26.78,"2013-06-24 18:56:30",4.385,17.75
"2013-06-26 00:00:00",30,13.56,12.5,"2013-06-25 05:30:00",13.06,27.5,"2013-06-25 16:48:30",14.47,20.39
"2013-06-27 00:00:00",31,13.61,12.48,"2013-06-26 05:00:00",13.13,24.78,"2013-06-26 19:30:00",12.3,18.24
"2013-06-28 00:00:00",32,13.66,12.48,"2013-06-27 05:00:00",13.12,25.19,"2013-06-27 18:03:30",10.34,17.06
"2013-06-29 00:00:00",33,13.75,12.45,"2013-06-28 05:00:00",13.21,16.56,"2013-06-28 19:36:00",7.641,12.57
"2013-06-30 00:00:00",34,13.74,12.45,"2013-06-29 05:30:00",13.15,21.4,"2013-06-29 16:41:00",6.113,14.96
"2013-07-01 00:00:00",35,13.7,12.46,"2013-06-30 05:30:00",13.16,23.41,"2013-06-30 17:36:30",7.378,16.62
"2013-07-02 00:00:00",36,13.77,12.47,"2013-07-01 05:00:00",13.19,22.67,"2013-07-01 17:39:00",6.963,15.75
"2013-07-03 00:00:00",37,13.77,12.45,"2013-07-02 05:30:00",13.15,20.74,"2013-07-02 18:00:30",5.808,13.66
"2013-07-04 00:00:00",38,13.79,12.44,"2013-07-03 05:00:00",13.25,17.14,"2013-07-03 15:45:00",6.635,11.38
"2013-07-05 00:00:00",39,13.82,12.43,"2013-07-04 05:30:00",13.23,19.97,"2013-07-04 18:39:00",2.736,12.37
"2013-07-06 00:00:00",40,13.85,12.43,"2013-07-05 05:00:00",13.27,17.11,"2013-07-05 19:14:30",2.417,11.19
"2013-07-07 00:00:00",41,13.84,12.43,"2013-07-06 05:00:00",13.21,20.53,"2013-07-06 17:24:00",2.033,12.63
"2013-07-08 00:00:00",42,13.81,12.43,"2013-07-07 05:30:00",13.25,18.58,"2013-07-07 18:39:00",2.865,11.82
"2013-07-09 00:00:00",43,13.75,12.45,"2013-07-08 06:00:00",13.19,17.66,"2013-07-08 14:01:30",7.202,12.34
"2013-07-10 00:00:00",44,13.81,12.43,"2013-07-09 05:30:00",13.28,12.19,"2013-07-09 14:26:00",5.311,8.42
"2013-07-11 00:00:00",45,13.83,12.43,"2013-07-10 06:30:00",13.2,13.45,"2013-07-10 18:49:00",5.788,8.96
"2013-07-12 00:00:00",46,13.75,12.45,"2013-07-11 06:00:00",13.16,11.49,"2013-07-11 19:01:30",7.95,9.68
"2013-07-13 00:00:00",47,13.71,12.45,"2013-07-12 06:00:00",13.12,17.54,"2013-07-12 17:26:00",8.81,12.62
"2013-07-14 00:00:00",48,13.71,12.44,"2013-07-13 05:30:00",13.17,21.7,"2013-07-13 18:36:00",5.96,14.79
"2013-07-15 00:00:00",49,13.74,12.44,"2013-07-14 05:30:00",13.14,25.1,"2013-07-14 18:49:30",5.917,15.94
"2013-07-16 00:00:00",50,13.73,12.44,"2013-07-15 05:30:00",13.09,27.85,"2013-07-15 18:51:00",5.463,17.55
"2013-07-17 00:00:00",51,13.61,12.48,"2013-07-16 05:30:00",13.12,23.75,"2013-07-16 15:42:30",12.12,17.84
"2013-07-18 00:00:00",52,13.69,12.46,"2013-07-17 05:30:00",13.12,24.28,"2013-07-17 16:20:30",8.68,17.02
"2013-07-19 00:00:00",53,13.64,12.46,"2013-07-18 06:00:00",13.09,22.47,"2013-07-18 19:14:30",10.95,16.65
"2013-07-20 00:00:00",54,13.73,12.45,"2013-07-19 06:00:00",13.15,17.51,"2013-07-19 17:38:00",8.26,13.72
"2013-07-21 00:00:00",55,13.72,12.45,"2013-07-20 06:00:00",12.97,15.34,"2013-07-20 12:39:30",7.751,11.13
"2013-07-22 00:00:00",56,13.75,12.43,"2013-07-21 07:00:00",13.13,10.58,"2013-07-21 16:31:00",7.882,9.37
"2013-07-23 00:00:00",57,13.73,12.45,"2013-07-22 06:00:00",13.11,15.97,"2013-07-22 19:23:30",9.24,11.29
"2013-07-24 00:00:00",58,13.7,12.46,"2013-07-23 06:00:00",13.12,19.76,"2013-07-23 19:50:00",9.91,14.41
"2013-07-25 00:00:00",59,13.76,12.44,"2013-07-24 05:30:00",13.15,20.5,"2013-07-24 16:42:00",7.663,14.06
"2013-07-26 00:00:00",60,13.71,12.45,"2013-07-25 07:00:00",13.05,14.73,"2013-07-25 00:00:30",9.62,11.04
"2013-07-27 00:00:00",61,13.74,12.44,"2013-07-26 06:30:00",13.15,16.09,"2013-07-26 17:26:00",8.66,11.57
"2013-07-28 00:00:00",62,13.72,12.45,"2013-07-27 07:00:00",13.12,19.34,"2013-07-27 18:49:00",9.48,13.48
"2013-07-29 00:00:00",63,13.6,12.46,"2013-07-28 06:30:00",13.04,24.3,"2013-07-28 18:17:30",10.79,16.6
"2013-07-30 00:00:00",64,13.67,12.44,"2013-07-29 06:00:00",13.04,26.07,"2013-07-29 18:31:30",7.094,17.3
"2013-07-31 00:00:00",65,13.62,12.45,"2013-07-30 06:00:00",13.05,25.22,"2013-07-30 18:16:30",9.48,18.32
"2013-08-01 00:00:00",66,13.58,12.45,"2013-07-31 06:30:00",12.99,24.89,"2013-07-31 18:14:30",9.75,16.39
"2013-08-02 00:00:00",67,13.78,12.42,"2013-08-01 06:00:00",13.08,24.01,"2013-08-01 17:56:00",5.117,14.63
"2013-08-03 00:00:00",68,13.64,12.44,"2013-08-02 06:00:00",13.05,25.95,"2013-08-02 17:31:00",8.23,17.3
"2013-08-04 00:00:00",69,13.74,12.42,"2013-08-03 06:00:00",13.12,19.86,"2013-08-03 17:49:00",4.945,14.05
"2013-08-05 00:00:00",70,13.69,12.43,"2013-08-04 06:00:00",13.1,20.8,"2013-08-04 19:12:30",7.882,14.34
"2013-08-06 00:00:00",71,13.75,12.41,"2013-08-05 06:30:00",13.11,20.74,"2013-08-05 17:14:00",6.068,13.74
"2013-08-07 00:00:00",72,13.75,12.4,"2013-08-06 06:00:00",13.08,22.9,"2013-08-06 18:28:30",3.569,13.98
"2013-08-08 00:00:00",73,13.67,12.42,"2013-08-07 06:30:00",13.07,22.25,"2013-08-07 19:57:30",7.333,14.99
